,"ТЧП, мВ",,,"Tj, C",,,"Tc, C",,,"To, C",,"t, s"
2.091872563,475.3807801,,2.091872563,115.5404403,,2.091872563,56.77303623,,2.091872563,22.24033151,76,2.091872563
2.38442887,473.9219516,,2.38442887,117.2161856,,2.38442887,59.12179385,,2.38442887,22.2437602,77,2.38442887
2.717900285,472.7395328,,2.717900285,118.2376402,,2.717900285,60.51163608,,2.717900285,22.24718889,78,2.717900285
3.098008941,471.9410161,,3.098008941,116.3808844,,3.098008941,63.5575347,,3.098008941,22.29677735,79,3.098008941
3.531277233,470.5374696,,3.531277233,118.9105939,,3.531277233,62.03611369,,3.531277233,22.39252559,80,3.531277233
4.025139739,469.5162897,,4.025139739,118.8979382,,4.025139739,64.25138215,,4.025139739,22.5001949,81,4.025139739
4.588070788,468.4091156,,4.588070788,119.5886346,,4.588070788,64.99981198,,4.588070788,22.54641984,82,4.588070788
5.229729877,467.2113407,,5.229729877,120.3152331,,5.229729877,66.39785954,,5.229729877,22.57549285,83,5.229729877
5.961127422,466.581741,,5.961127422,121.1649244,,5.961127422,67.61208266,,5.961127422,22.77381837,84,5.961127422
6.794813687,466.2439071,,6.794813687,123.4973135,,6.794813687,68.93490688,,6.794813687,23.15165413,85,6.794813687
7.745094135,465.9060731,,7.745094135,124.0406869,,7.745094135,70.03472611,,7.745094135,23.87885478,86,7.745094135
8.828274905,465.0445965,,8.828274905,124.7211256,,8.828274905,71.34093677,,8.828274905,25.18232398,87,8.828274905
10.06294261,464.4318886,,10.06294261,125.1912809,,10.06294261,72.70396273,,10.06294261,26.46818725,88,10.06294261
11.47028328,463.9558498,,11.47028328,125.6718186,,11.47028328,73.96006482,,11.47028328,27.5025157,89,11.47028328
13.07444587,463.5565915,,13.07444587,126.075174,,13.07444587,75.15157845,,13.07444587,28.84537697,90,13.07444587
14.90295668,463.1,,14.90295668,127.3142174,,14.90295668,76.55429892,,14.90295668,30.11891119,91,14.90295668
16.98719165,462.957704,,16.98719165,129.0064473,,16.98719165,78.01587378,,16.98719165,31.21236212,92,16.98719165
19.36291479,461.6831486,,19.36291479,129.3381233,,19.36291479,79.28321836,,19.36291479,32.37824279,93,19.36291479
22.07089182,460.8232076,,22.07089182,129.7048465,,22.07089182,80.53901589,,22.07089182,33.73711219,94,22.07089182
25.15758969,460.193608,,25.15758969,129.9399289,,25.15758969,81.90351128,,25.15758969,35.07544107,95,25.15758969
28.67597396,459.8250618,,28.67597396,130.2203162,,28.67597396,83.34030969,,28.67597396,36.45193181,96,28.67597396
32.68641761,459.8250618,,32.68641761,130.4288995,,32.68641761,84.65621345,,32.68641761,37.83332473,97,32.68641761
37.257737,459.8250618,,37.257737,130.6939002,,37.257737,85.78963085,,37.257737,39.18214936,98,37.257737
42.46837274,459.7482814,,42.46837274,130.8768391,,42.46837274,86.96665939,,42.46837274,40.54262041,99,42.46837274
48.40773563,458.9497648,,48.40773563,131.1315822,,48.40773563,90.23900818,,48.40773563,41.79313762,100,48.40773563
55.17774093,458.642643,,55.17774093,131.3171847,,55.17774093,88.25504459,,55.17774093,43.5007534,101,55.17774093
62.89455714,458.642643,,62.89455714,131.6413799,,62.89455714,92.01901743,,62.89455714,44.79330646,102,62.89455714
71.69059934,458.642643,,71.69059934,131.7781591,,71.69059934,93.19190201,,71.69059934,46.49188743,103,71.69059934
